01_scheduling,2026-04-20T13:45:01+02:00,dbb96932f2ee,,"coverage-fork-publish: trigger on non-cancelled runs (codecov failures should not block)"
01_scheduling,2026-04-20T12:05:23+02:00,44dae5119f3e,,"coverage: split publish into workflow_run-triggered fork workflow"
01_scheduling,2026-04-10T19:20:54-04:00,b8863671281e,7404,"Fix CMake compiler coroutine flags (#7404)"
01_scheduling,2026-03-24T16:56:09+00:00,464ef88193c3,,"CI: Run RTLMeter when pushing to a 'ci-rtlmeter/**' branch"
01_scheduling,2026-03-20T09:23:32-07:00,c3fc0d9f0ffe,7296,"Fix coroutine trace setters (#7078 repair) (#7296)"
01_scheduling,2026-03-04T22:39:05-05:00,e5ad9b3a4b29,7197,"Support Z non-blocking assignment (#7192) (#496) (#7197)"
01_scheduling,2026-03-01T11:59:29-05:00,192445097ac1,7165,"Internals: Fix non-determinism in V3Delayed, V3SplitVar, V3Task (#7120 partial) (#7165)"
01_scheduling,2026-03-01T07:44:59-05:00,97838325cd32,7162,"Fix scheduling non-determinism (#7120 partial) (#7162)"
01_scheduling,2026-02-28T09:52:02-05:00,02c1dbc5dcd6,7135,"Fix lambda coroutines (#6106) (#7135)"
01_scheduling,2026-02-22T11:36:22-05:00,38d5da7a2405,,"Tests: Fix t_fork_join_none_capture for other simulators"
01_scheduling,2026-02-17T21:51:11-05:00,da28c67e60ed,6891,"Fix #0 delays to control fork scheduling (#6730 repair) (#6891)"
01_scheduling,2026-02-16T03:55:55+00:00,505d33b35a71,7079,"Support #0 delays with IEEE-1800 compliant semantics (#7079)"
01_scheduling,2026-02-14T20:15:32+00:00,a0b89dde8ece,7078,"Internals: Make AstCAwait an AstNodeStmt (#6280) (#7078)"
01_scheduling,2026-02-08T16:09:53+00:00,3752102879c4,7015,"Internals: Clean up V3Reorder (#7015)"
01_scheduling,2026-01-28T10:45:23+00:00,78755523541b,6953,"Internals: Add stats/dump of circular logic in scheduling (#6953)"
01_scheduling,2026-01-24T10:56:27-05:00,1e7198eabb9e,,"Tests: t_fork_join_none_stmt (#5902 test)"
01_scheduling,2026-01-23T22:11:04-05:00,07b61d3745e2,6911,"Fix internal error when fork under always expression (#6911)."
01_scheduling,2026-01-15T06:53:00-05:00,550cf4462d24,6926,"Fix of dynamic scheduler temporary varable locations (#6859) (#6926)"
01_scheduling,2025-12-20T21:25:01-05:00,ffa87540cc31,6843,"Fix randcase under fork (#6843)."
01_scheduling,2025-12-17T19:24:43-05:00,b90865a08aa7,6790,"Change `--lint-only` and `--json-only` to imply `--timing` (#6790)."
01_scheduling,2025-12-08T18:42:52+00:00,1baa832efc48,6780,"Fix reordering of function body inlined on RHS of <= NBA (#6780)"
01_scheduling,2025-11-26T15:52:53+03:00,2c5ff3f63ff5,6730,"Fix fork scheduling semantics (#6730)"
01_scheduling,2025-11-10T09:39:33-05:00,0062a422a482,6671,"Support `#1step` delay as statement  (#6671)"
01_scheduling,2025-11-05T15:55:30+00:00,cb5f03806081,6643,"Internals: Optimzie unlinking rest of list after head (tail) (#6643)"
01_scheduling,2025-11-03T09:39:23-05:00,0eaa9ed14428,6631,"Fix `--timing` with `--x-initial-edge` (#6603) (#6631)"
01_scheduling,2025-11-01T15:43:20+00:00,2e502aead8f1,6620,"Internals: Make all scheduling region use a single trigger vector. (#6620)"
01_scheduling,2025-10-31T18:29:11+00:00,922223a9c371,6616,"Internals: Replace VlTriggerVec with unpacked array (#6616)"
01_scheduling,2025-10-28T17:02:21+00:00,766514bdcfb5,6602,"Fix --hierarchical with --binary (#6602)"
01_scheduling,2025-10-27T21:18:47+00:00,cddbb5e095a4,,"Internals: Split some code from V3Sched.cpp"
01_scheduling,2025-10-27T10:41:30+00:00,60c532908e64,6581,"Internals: Create if statements for triggers during scheduling (#6280) (#6581)"
01_scheduling,2025-10-26T09:47:09+00:00,d236e4c054f9,,"Internals: Cleanup scheduling"
01_scheduling,2025-10-25T21:59:21+02:00,7225c902ee0e,6596,"Fix V3Life eliminating assignments across timing controls (#6593) (#6596)"
01_scheduling,2025-10-24T14:00:07+01:00,d864057a607e,6588,"Internals: Refactor AstNodeBlock representation (#6280) (#6588)"
01_scheduling,2025-10-23T16:37:31+01:00,d33da1ebb626,6280,"Internals: Refactor ForkVisitor (#6280)"
01_scheduling,2025-10-22T11:14:21+01:00,cb3c2706a82b,,"Internals: Remove funcLocal from 'fork' locals"
01_scheduling,2025-10-22T08:48:28+01:00,d65ba037a8ed,,"Internals: Simplify parsing of 'fork' blocks"
01_scheduling,2025-10-20T10:16:05-04:00,9bd30baba495,6555,"Fix $finish inside fork blocks (#6555)"
01_scheduling,2025-10-14T09:05:19+01:00,eb53bca6fdc1,6556,"Internals: Make AstAssignW a procedural statement (#6280) (#6556)"
